gross_actual,gross_model,net_actual,net_model,tes_actual,tes_model,revenue_actual,revenue_model
121.273,120.551,110.304,108.4959,1333.14,1237.29,121.3344,132.606
121.351,120.551,115.234,108.4959,1266.77,1173.87,126.7574,132.606
122.204,120.551,112.954,108.4959,1512.11,1424.16,124.2494,132.606
121.154,120.551,114.214,108.4959,1616.27,1532.75,125.6354,132.606
121.253,120.551,117.978,108.4959,1340.45,1257.79,129.7758,132.606
120.261,120.551,117.631,108.4959,1062.16,981.005,129.3941,132.606
120.509,120.551,117.867,108.4959,777.719,698.966,129.6537,132.606
120.503,120.551,117.86,108.4959,493.299,416.927,129.646,132.606
120.774,120.551,118.137,108.4959,209.694,135.501,129.9507,132.606
46.2044,49.0119,44.8514,44.11071,94.955,18.9555,35.88112,39.2095
0,0,-0.6325,0,94.739,18.9555,-0.506,0
0,0,-0.6325,0,94.5234,18.9555,-0.506,0
0,0,-0.6325,0,94.3081,0,-0.44275,0
0,0,-0.6325,0,94.0929,0,-0.44275,0
0,0,-0.6325,0,93.8779,0,-0.44275,0
0,0,-0.6325,0,93.6634,0,-0.44275,0
0,0,-0.6325,0,93.4491,0,-0.44275,0
0,0,-0.6325,0,93.2353,0,-0.44275,0
0,0,-0.6325,0,93.0217,0,-0.506,0
0,0,-0.6325,0,92.8093,0,-0.506,0
0,0,-0.6325,0,92.5984,94.5234,-0.69575,0
0,0,-2.8021,0,92.3886,94.5234,-3.08231,0
64.0936,66.181,58.1156,59.5629,86.0411,139.212,63.92716,72.7991
121.284,120.551,115.164,108.4959,36.7105,75.5679,126.6804,132.606
121.276,120.551,113.167,108.4959,202.555,247.954,124.4837,132.606
121.28,120.551,112.145,108.4959,440.314,491.813,123.3595,132.606
122.142,120.551,116.144,108.4959,338.703,393.312,127.7584,132.606
121.053,120.551,117.753,108.4959,60.4439,116.325,129.5283,132.606
25.6778,50.0826,24.4617,45.07434,0,0,26.90787,55.0909
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-4.41511,0,63.777,0,-3.532088,0
63.3148,66.1107,55.6818,59.49963,300.375,214.566,44.54544,52.8885
121.164,120.551,111.107,108.4959,662.105,531.253,88.8856,96.4409
122.193,120.551,110.904,108.4959,1008.71,885.393,88.7232,96.4409
121.27,120.551,109.89,108.4959,1360.24,1244.06,87.912,96.4409
121.281,120.551,110.472,108.4959,1687.83,1577.7,88.3776,96.4409
122.202,120.551,112.666,108.4959,1949.86,1845.34,90.1328,96.4409
121.272,120.551,114.093,108.4959,2079.18,1979.42,91.2744,96.4409
120.512,120.551,117.651,108.4959,1794.69,1697.39,94.1208,96.4409
120.788,120.551,118.153,108.4959,1510.96,1415.96,94.5224,96.4409
120.785,120.551,118.149,108.4959,1227.24,1134.53,94.5192,96.4409
120.87,120.551,118.242,108.4959,944.868,854.203,94.5936,96.4409
120.95,120.551,118.329,108.4959,663.822,574.953,94.6632,96.4409
121.042,120.551,118.429,108.4959,384.097,296.756,94.7432,96.4409
102.157,104.192,99.6426,93.7728,142.281,55.8252,79.71408,83.3534
22.5159,23.0215,21.4539,20.71935,88.8732,8.34E-11,17.16312,18.4172
36.5792,37.5851,35.3062,33.82659,2.92473,0,24.71434,26.3095
0,0,-0.6325,0,2.85465,0,-0.44275,0
0,0,-0.6325,0,2.78485,0,-0.44275,0
0,0,-0.6325,0,2.71533,0,-0.44275,0
0,0,-0.6325,0,2.64622,0,-0.44275,0
0,0,-0.6325,0,2.5775,0,-0.44275,0
0,0,-0.6325,0,2.50918,0,-0.506,0
0,0,-0.6325,0,2.44163,0,-0.506,0
0,0,-4.56476,0,80.0961,0,-3.651808,0
63.5882,66.3646,55.6205,59.72814,339.883,235.361,44.4964,53.0917
121.165,120.551,110.732,108.4959,725.176,569.135,88.5856,96.4409
121.01,120.551,109.765,108.4959,1085.4,935.914,87.812,96.4409
122.194,120.551,110.463,108.4959,1450.62,1307.71,88.3704,96.4409
122.193,120.551,111.294,108.4959,1780.94,1644.33,89.0352,96.4409
121.024,120.551,111.928,108.4959,2040.12,1908.58,89.5424,96.4409
121.272,120.551,114.183,108.4959,2161.63,2034.52,91.3464,96.4409
120.326,120.551,117.477,108.4959,1883.32,1757.73,93.9816,96.4409
120.461,120.551,117.822,108.4959,1599.11,1475.69,94.2576,96.4409
120.455,120.551,117.815,108.4959,1314.91,1193.65,94.252,96.4409
66.2998,65.0347,64.4283,58.53123,1163.52,1039.85,51.54264,52.0278
22.6049,22.7563,21.4976,20.48067,1109.65,983.815,17.19808,18.205
22.6044,22.7563,21.497,20.48067,1055.79,927.782,17.1976,18.205
22.6042,22.7563,21.4967,20.48067,1001.93,871.75,17.19736,18.205
22.5155,22.7563,21.4219,20.48067,948.274,815.925,17.13752,18.205
22.5156,22.7563,21.4219,20.48067,894.623,892.448,14.99533,15.9294
22.5156,22.7563,21.4219,20.48067,840.976,836.623,14.99533,15.9294
22.5157,22.7563,21.4218,20.48067,787.335,780.798,14.99526,15.9294
22.5157,22.8454,21.4332,20.56086,733.699,724.973,15.00324,15.9918
22.5158,22.8454,21.4332,20.56086,680.069,669.147,15.00324,15.9918
22.5158,22.8454,21.4332,20.56086,626.446,613.322,15.00324,15.9918
48.459,51.7274,47.0945,46.55466,506.117,491.452,37.6756,41.3819
48.4179,51.7274,47.05,46.55466,385.249,369.119,37.64,41.3819
120.268,120.551,114.014,108.4959,240.036,92.333,125.4154,132.606
121.215,120.551,112.843,108.4959,464.815,317.751,124.1273,132.606
121.011,120.551,110.992,108.4959,771.529,634.168,122.0912,132.606
122.197,120.551,110.93,108.4959,1117.94,990.805,122.023,132.606
121.274,120.551,109.838,108.4959,1472.35,1355.3,120.8218,132.606
121.273,120.551,110.389,108.4959,1803.04,1695.64,121.4279,132.606
122.205,120.551,112.594,108.4959,2069.59,1970.28,123.8534,132.606
121.209,120.551,114.021,108.4959,2198.05,2104.81,125.4231,132.606
120.337,120.551,117.49,108.4959,1919.75,1828.03,129.239,132.606
120.823,120.551,118.19,108.4959,1636.09,1546.6,130.009,132.606
121.009,120.551,118.383,108.4959,1353.48,1266.27,130.2213,132.606
120.989,120.551,118.371,108.4959,1072.49,987.022,130.2081,132.606
121.081,120.551,118.472,108.4959,792.792,708.825,130.3192,132.606
121.075,120.551,118.465,108.4959,513.12,430.628,94.772,96.4409
121.14,120.551,118.537,108.4959,234.777,153.487,94.8296,96.4409
60.2077,66.3192,58.7635,59.68728,81.7879,0,47.0108,53.0554
0,0,-0.6325,0,81.5858,81.7879,-0.44275,0
0,0,-0.6325,0,81.384,81.7879,-0.44275,0
0,0,-0.6325,0,81.1826,81.7879,-0.44275,0
0,0,-0.6325,0,80.9816,81.7879,-0.44275,0
0,0,-0.6325,0,80.7809,81.7879,-0.44275,0
0,0,-0.6325,0,80.5802,81.7879,-0.44275,0
0,0,-0.6325,0,80.3803,81.7879,-0.506,0
0,0,-0.6325,0,80.181,81.7879,-0.506,0
0,0,-3.78006,0,92.4399,81.7879,-4.158066,0
0,0,-0.85225,0,131.557,81.7879,-0.937475,0
61.5153,65.3121,55.7809,58.78089,14.8754,141.257,61.35899,71.8434
118.237,117.316,112.009,105.5844,114.839,230.262,123.2099,129.047
118.243,117.316,112.704,105.5844,123.288,240.943,123.9744,129.047
118.241,117.316,112.886,105.5844,98.4645,218.084,124.1746,129.047
118.242,117.316,111.361,105.5844,242.682,367.143,122.4971,129.047
118.305,117.316,113.05,105.5844,197.567,324.58,124.355,129.047
86.1405,117.316,83.9406,105.5844,0,55.8252,92.33466,129.047
0,23.1987,-0.6325,20.87883,0,9.41E-11,-0.69575,25.5186
0,0,-0.6325,0,0,9.39E-11,-0.69575,0
0,0,-0.6325,0,0,9.39E-11,-0.69575,0
0,0,-0.6325,0,0,9.39E-11,-0.69575,0
0,0,-0.6325,0,0,9.39E-11,-0.506,0
0,0,-0.6325,0,0,9.39E-11,-0.506,0
0,0,-0.6325,0,0,9.39E-11,-0.506,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-2.23455,0,0,0,-2.458005,0
39.5408,65.8195,32.4867,59.23755,107.738,126.204,35.73537,72.4014
121.058,120.551,111.486,108.4959,477.964,441.5,122.6346,132.606
120.975,120.551,110.624,108.4959,818.81,790.724,121.6864,132.606
120.887,120.551,110.459,108.4959,1162.07,1141.72,121.5049,132.606
120.579,120.551,110.959,108.4959,1468.62,1455.25,122.0549,132.606
120.577,120.551,112.162,108.4959,1711.01,1703.93,123.3782,132.606
120.963,120.551,114.366,108.4959,1823.41,1821.43,125.8026,132.606
121.129,120.551,118.306,108.4959,1544.9,1544.29,130.1366,132.606
121.217,120.551,118.621,108.4959,1267.69,1268.22,130.4831,132.606
121.213,120.551,118.617,108.4959,990.501,992.157,130.4787,132.606
121.208,120.551,118.612,108.4959,713.32,716.089,130.4732,132.606
121.275,120.551,118.686,108.4959,437.4,441.037,130.5546,132.606
121.267,120.551,118.677,108.4959,161.543,165.985,94.9416,96.4409
63.7282,72.1178,62.2612,64.90602,0,0,49.80896,57.6942
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-1.86708,0,0,0,-2.053788,0
32.8221,64.9112,25.8009,58.42008,94.9065,96.5851,28.38099,71.4023
120.373,120.551,110.403,108.4959,467.037,411.7,121.4433,132.606
121.327,120.551,110.603,108.4959,811.236,763.707,121.6633,132.606
121.272,120.551,110.495,108.4959,1156.69,1116.55,121.5445,132.606
121.206,120.551,110.943,108.4959,1478.03,1444.87,122.0373,132.606
121.281,120.551,112.228,108.4959,1739.45,1712.07,123.4508,132.606
120.57,120.551,113.799,108.4959,1864.49,1841.79,125.1789,132.606
120.977,120.551,118.139,108.4959,1583.45,1562.54,129.9529,132.606
121.071,120.551,118.461,108.4959,1303.7,1284.34,130.3071,132.606
121.067,120.551,118.456,108.4959,1023.96,1006.14,130.3016,132.606
121.136,120.551,118.533,108.4959,745.512,729.003,130.3863,132.606
121.131,120.551,118.527,108.4959,467.086,451.861,130.3797,132.606
121.213,120.551,118.617,108.4959,190.03,175.794,94.8936,96.4409
74.6926,76.4733,72.781,68.82597,15.9521,0,58.2248,61.1786
0,0,-0.6325,0,15.8541,0,-0.506,0
0,0,-0.6325,0,15.7565,0,-0.44275,0
0,0,-0.6325,0,15.6593,0,-0.44275,0
0,0,-0.6325,0,15.5625,0,-0.44275,0
0,0,-0.6325,0,15.466,0,-0.44275,0
0,0,-0.6325,0,15.3698,0,-0.44275,0
0,0,-0.6325,0,15.274,0,-0.44275,0
0,0,-0.6325,0,15.1788,0,-0.506,0
0,0,-0.6325,0,15.0843,0,-0.506,0
0,0,-4.57341,0,93.5584,15.8541,-5.030751,0
